Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,20,14,20,14,19
10,25,8,16,17,13
9,25,9,15,18,12
10,25,10,14,19,11
11,25,11,13,20,10
12,24,12,12,21,9
13,23,13,11,22,8
14,22,14,10,23,7
15,21,15,9,24,6
16,20,16,8,25,5
17,19,17,7,26,4
18,18,18,6,26,3
19,17,19,5,26,2
20,16,20,4,26,1
21,15,21,3,25,1
22,14,22,2,26,1
23,13,23,1,26,2
24,12,24,2,26,3
25,11,25,3,26,4
24,10,26,4,25,5
25,9,25,5,25,6
24,10,25,6,25,7
23,11,25,7,25,8
22,12,25,8,24,9
21,13,24,9,23,10
20,14,23,10,22,11
19,15,22,11,21,12
18,16,21,12,20,13
17,17,20,13,19,14
16,18,19,14,18,15
15,19,18,15,17,16
14,20,17,16,16,17
13,21,16,17,15,18
13,22,15,18,14,19
14,21,14,19,14,20
14,20,14,20,14,19
