Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
13,25,14,24,14,24
17,1,16,27,24,22
16,2,17,26,23,21
17,3,17,26,22,20
17,4,16,25,21,19
16,5,16,25,22,18
16,6,17,26,21,17
17,7,17,26,20,16
17,8,16,25,19,15
16,9,16,25,18,14
15,10,17,26,17,13
14,9,16,25,16,12
13,8,15,25,15,11
12,7,14,25,14,10
11,6,13,25,13,9
10,5,12,24,12,8
9,4,11,23,11,7
8,3,10,22,10,6
7,2,9,21,9,5
6,1,8,20,8,4
5,0,7,19,7,3
4,0,6,18,6,2
3,1,5,17,5,1
2,2,4,16,4,1
1,3,3,15,3,2
2,4,4,16,2,3
3,5,5,17,2,4
4,6,6,18,3,5
5,7,7,19,4,6
6,8,8,20,5,7
7,9,9,21,6,8
8,10,10,22,7,9
9,11,11,23,8,10
10,12,12,24,9,11
11,13,13,25,10,12
12,14,14,26,11,13
13,15,15,27,12,14
14,16,16,28,13,15
15,17,17,28,14,16
16,18,17,28,15,17
17,19,16,27,16,18
16,20,15,26,17,19
15,19,16,25,16,20
16,20,15,25,15,19
15,19,14,25,16,20
14,20,15,25,15,19
13,21,14,25,14,20
14,22,13,25,13,21
13,23,14,25,14,22
14,24,13,25,13,23
13,25,14,24,14,24
