Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,7,18,5,28,7
28,7,25,10,13,9
28,7,24,11,13,8
28,7,23,10,14,8
28,7,24,9,13,8
28,7,25,8,12,8
28,7,25,7,12,7
28,7,24,6,12,7
28,7,25,7,12,7
28,7,24,8,12,7
28,7,25,7,12,7
28,7,24,6,12,7
28,7,25,7,12,7
28,7,24,6,12,7
28,7,23,5,12,7
28,7,22,6,12,7
28,7,21,5,12,7
28,7,20,6,12,7
28,7,21,7,12,7
28,7,21,8,12,7
28,7,20,9,12,7
28,7,19,8,12,7
28,7,20,7,12,7
28,7,20,8,12,7
28,7,20,9,12,7
28,7,19,8,12,7
28,7,18,9,12,7
28,7,17,10,12,7
28,7,16,11,12,7
28,7,15,12,12,7
28,7,16,11,12,7
28,7,15,12,12,7
28,7,14,11,12,7
28,7,13,12,12,7
28,7,12,13,12,7
28,7,11,13,13,7
28,7,12,14,13,7
28,7,13,13,13,7
28,7,12,13,14,7
28,7,11,12,14,7
28,7,10,11,14,7
28,7,11,12,14,7
28,7,12,13,14,7
28,7,11,12,14,7
28,7,12,13,14,7
28,7,11,12,14,7
28,7,12,11,14,7
28,7,13,12,14,7
28,7,12,11,14,7
28,7,13,12,14,7
28,7,12,11,14,7
28,7,13,10,14,7
28,7,14,11,14,7
28,7,15,11,14,6
28,7,14,12,15,6
28,7,15,11,15,5
28,7,15,10,15,6
28,7,14,10,15,7
28,7,15,9,15,7
28,7,14,9,14,7
28,7,15,9,13,7
28,7,14,10,13,7
28,7,13,9,13,7
28,7,14,9,13,6
28,7,13,8,14,6
28,7,14,9,15,6
28,7,13,8,16,6
28,7,14,7,16,7
28,7,15,7,16,6
28,7,14,6,16,5
28,7,15,7,17,5
28,7,16,6,17,4
28,7,17,7,17,3
28,7,17,6,16,3
28,7,18,5,15,3
28,7,17,4,14,3
28,7,16,3,13,3
28,7,16,4,14,3
28,7,15,5,13,3
28,7,14,6,12,3
28,7,13,7,12,4
28,7,12,8,13,4
28,7,13,9,13,5
28,7,12,9,13,6
28,7,13,8,13,5
28,7,13,7,14,5
28,7,12,6,15,5
28,7,13,7,15,4
28,7,14,6,16,4
28,7,15,5,16,3
28,7,16,4,17,3
28,7,15,3,17,4
28,7,16,2,18,4
28,7,17,3,18,5
28,7,18,2,18,6
28,7,17,2,19,6
28,7,16,3,19,7
28,7,15,4,18,7
28,7,16,5,18,8
28,7,17,4,18,7
28,7,16,5,19,7
28,7,17,6,18,7
28,7,18,7,19,7
28,7,18,6,20,7
28,7,19,5,19,7
28,7,18,5,19,8
28,7,17,6,20,8
28,7,16,7,20,7
28,7,16,6,21,7
28,7,17,5,22,7
28,7,16,6,23,7
28,7,15,7,23,8
28,7,15,8,24,8
28,7,16,8,24,7
28,7,15,7,24,7
28,7,15,6,25,7
28,7,14,7,25,8
28,7,15,7,25,7
28,7,16,7,25,6
28,7,17,6,26,6
28,7,17,7,26,7
28,7,17,6,27,7
28,7,18,5,28,7
